;price_per_month;url;type;square;location;amenities;lat;long
0;15,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-cairo-zamalek-mohamed-mazhar-st-3139917.html;Apartment;80 sqm;Mohamed Mazhar St., Zamalek, Cairo;"Furnished
Kitchen Appliances
Security
Concierge
Built in Wardrobes
Lobby in Building
Balcony
Study
Walk-in Closet
View of Water
View of Landmark";30,067505;31,2221514
1;10,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-cairo-zamalek-yehia-ibrahim-st-3064567.html;Apartment;100 sqm;Yehia Ibrahim St., Zamalek, Cairo;"Furnished
Kitchen Appliances
Central A/C
Private Jacuzzi
Security
Concierge
Built in Wardrobes
Lobby in Building
Balcony
Study
Walk-in Closet
Pets Allowed
View of Water
View of Landmark
Children's Play Area
Barbecue Area
Covered Parking";30,0609444;31,2234375
2;17,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-cairo-zamalek-shagaret-al-dor-st-2873383.html;Apartment;100 sqm;Shagaret Al Dor St., Zamalek, Cairo;"Furnished
Kitchen Appliances
Central A/C
Security
Built in Wardrobes
Lobby in Building
Balcony
Study
Networked
Pets Allowed
View of Landmark
Barbecue Area
Covered Parking";30,0544431;31,2204619
3;13,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-cairo-zamalek-shafik-mansour-st-3064605.html;Apartment;80 sqm;Shafik Mansour St., Zamalek, Cairo;"Furnished
Kitchen Appliances
Central A/C
Security
Children's Pool
Concierge
Maid Service
Built in Wardrobes
Lobby in Building
Balcony
Study
Walk-in Closet
Pets Allowed
View of Landmark
Children's Play Area
Barbecue Area";30,0566037;31,2217171
4;17,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-cairo-zamalek-ahmed-sabry-st-3013208.html;Apartment;70 sqm;Ahmed Sabry St., Zamalek, Cairo;"Furnished
Kitchen Appliances
Security
Concierge
Maid Service
Balcony
Maids Room
Pets Allowed
View of Landmark
Barbecue Area
Covered Parking";30,0615755;31,2210987
5;9,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-cairo-zamalek-mohamed-mazhar-st-3143915.html;Apartment;90 sqm;Mohamed Mazhar St., Zamalek, Cairo;"Furnished
Kitchen Appliances
Security
Concierge
Built in Wardrobes
Lobby in Building
Study";30,067505;31,2221514
6;8,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-cairo-zamalek-al-mansour-mohamed-st-3136663.html;Apartment;80 sqm;Al Mansour Mohamed St., Zamalek, Cairo;"Furnished
Kitchen Appliances
Security
Concierge
Built in Wardrobes
Lobby in Building
Balcony
Study";30,06234245;31,2186619
7;25,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-cairo-zamalek-yehia-ibrahim-st-3141251.html;Apartment;100 sqm;Yehia Ibrahim St., Zamalek, Cairo;"Furnished
Kitchen Appliances
Security
Balcony";30,0609444;31,2234375
8;15,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-cairo-zamalek-ahmed-heshmat-st-3004744.html;Apartment;100 sqm;Ahmed Heshmat St., Zamalek, Cairo;"Furnished
Kitchen Appliances
Central A/C
Security
Balcony
View of Landmark";30,0661086;31,2212284
9;25,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-cairo-zamalek-mohamed-anis-st-2747841.html;Apartment;90 sqm;Mohamed Anis St., Zamalek, Cairo;"Furnished
Kitchen Appliances
Security
Concierge
Maid Service
Balcony
Walk-in Closet
Networked
View of Landmark
Barbecue Area
Covered Parking";30,0683483;31,2200994
10;17,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-cairo-zamalek-mohamed-anis-st-2956630.html;Apartment;80 sqm;Mohamed Anis St., Zamalek, Cairo;"Furnished
Kitchen Appliances
Central A/C
Concierge
Maid Service
Pets Allowed
View of Landmark";30,0683483;31,2200994
11;10,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-giza-mohandessin-al-quds-al-sharif-st-1611110.html;Apartment;100 sqm;Al Quds Al Sharif St., Mohandessin, Giza;"Furnished
Kitchen Appliances
Central A/C
Security
Built in Wardrobes";30,04576305;31,20545995
12;13,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-cairo-zamalek-taha-hussein-st-2873142.html;Apartment;70 sqm;Taha Hussein St., Zamalek, Cairo;"Furnished
Kitchen Appliances
Central A/C
Security
Built in Wardrobes
Lobby in Building
Balcony
Study
Networked
Pets Allowed
View of Landmark
Barbecue Area
Covered Parking";30,0660306;31,2200291
13;30,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-giza-mohandessin-al-batal-ahmed-abd-el-aziz-st-2812025.html;Apartment;60 sqm;Al Batal Ahmed Abd El Aziz St., Mohandessin, Giza;"Furnished
Kitchen Appliances
Security
Concierge
Maid Service
Lobby in Building
Balcony
Walk-in Closet
Networked";30,0549;31,20352
14;8,500 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-giza-dokki-feini-square-3045175.html;Apartment;80 sqm;Feini Square, Dokki, Giza;"Furnished
Kitchen Appliances
Central A/C
Security
Concierge
Built in Wardrobes
Lobby in Building
View of Landmark";30,0413908;31,2163422
15;9,500 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-giza-mohandessin-al-basrah-st-2903683.html;Apartment;80 sqm;Al Basrah St., Mohandessin, Giza;"Furnished
Kitchen Appliances
Central A/C
Security
Concierge
Maid Service
Built in Wardrobes
Lobby in Building";30,04731635;31,19916565
16;15,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-giza-mohandessin-2971921.html;Apartment;70 sqm;Mohandessin, Giza;"Furnished
Kitchen Appliances
Central A/C
Private Jacuzzi
Security
Private Garden
Concierge
Maid Service
Balcony
View of Landmark
Covered Parking";30,04938255;31,2040593
17;14,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-cairo-zamalek-shagaret-al-dor-st-2956479.html;Apartment;80 sqm;Shagaret Al Dor St., Zamalek, Cairo;"Furnished
Kitchen Appliances
Security
Concierge
Built in Wardrobes
Balcony";30,0544431;31,2204619
18;6,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-giza-dokki-al-gergawi-st-3156997.html;Apartment;60 sqm;Al Gergawi St., Dokki, Giza;"Furnished
Kitchen Appliances
Central A/C
Security
Concierge";30,0418017;31,2063996
19;14,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-giza-mohandessin-degla-st-2933040.html;Apartment;100 sqm;Degla St., Mohandessin, Giza;"Furnished
Kitchen Appliances
Central A/C
Security
Concierge
Maid Service
Built in Wardrobes
Lobby in Building
Balcony
Pets Allowed
View of Landmark
Barbecue Area";30,04938255;31,2040593
20;12,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-cairo-zamalek-al-malek-el-fadl-st-3014608.html;Apartment;70 sqm;Al Malek El Fadl St., Zamalek, Cairo;"Furnished
Kitchen Appliances
Central A/C
Security
Concierge
Maid Service
Balcony
View of Landmark
Covered Parking";30,0635974;31,216923
21;12,000 EGP/month;https://www.propertyfinder.eg/en/rent/apartment-for-rent-cairo-zamalek-3014612.html;Apartment;70 sqm;Zamalek, Cairo;"Furnished
Kitchen Appliances
Central A/C
Security
Maid Service
Balcony
View of Landmark";30,05586975;31,2217712
22;Посольство РФ;https://egypt.mid.ru/ru/;Embassy;;95 Giza St, Ad Doqi A, Dokki, Giza Governorate;;30,037085;31,219124
